HPC_index,name,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_100,C2H6_100
1,hMOF-1000000,[V],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'O=C([O-])c1ccc(C(=O)[O-])c(F)c1']",rna,7.41046,6.89364,0.59186,1460.519908,1560.486025,66.26710632,7.098639121
2,hMOF-1000001,[V],"['O=C([O-])c1ccc(C(=O)[O-])c(F)c1F', 'O=C([O-])c1ccc(C(=O)[O-])c(F)c1']",rna,5.1924,4.12808,0.49794,1444.064755,1658.531335,50.29460501,4.875660845
3,hMOF-1000002,[V],['O=C([O-])c1[c]cc(C(=O)[O-])c[c]1'],rna,7.4103,6.76342,0.650745,1117.4784,1491.869368,91.83208477,10.15872323
4,hMOF-1000003,[V],"['O=C([O-])c1ccc(C(=O)[O-])c(Cl)c1', 'O=C([O-])c1[c]cc(C(=O)[O-])c(Cl)[c]1']",rna,7.16304,6.76343,0.639119,1115.800084,1489.628763,73.86422026,8.457810014
5,hMOF-1000004,[V],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'Cc1cc(C(=O)[O-])ccc1C(=O)[O-]']",rna,7.85581,6.27113,0.585737,1453.735701,1540.413563,69.74085935,7.437697324
6,hMOF-1000005,[V],"['Cc1cc(C(=O)[O-])c(C)c(C)c1C(=O)[O-]', 'Cc1c(C(=O)[O-])ccc(C(=O)[O-])c1C']",rna,5.28535,3.90183,0.433842,576.712492,683.106073,55.89253791,4.537755342
7,hMOF-1000006,[V],"['Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'Cc1cc(C(=O)[O-])c(C)cc1C(=O)[O-]']",rna,7.45668,6.81349,0.595924,1271.287728,1426.455194,82.70209577,9.537930633
8,hMOF-1000007,[V],"['CCc1c(C(=O)[O-])ccc(C(=O)[O-])c1CC', 'CCc1cc(C(=O)[O-])ccc1C(=O)[O-]']",rna,5.3756,3.57358,0.389278,415.317795,504.901156,37.93451159,2.956439972
9,hMOF-1000010,[V],"['Nc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'O=C([O-])c1ccc(C(=O)[O-])cc1']",rna,7.28457,6.87509,0.589271,1443.347639,1532.579761,69.59024278,7.496806152
10,hMOF-1000014,[V],"['O=C([O-])c1cc(O)c(C(=O)[O-])cc1O', 'O=C([O-])c1cc(O)c(C(=O)[O-])c(O)c1O']",rna,7.19156,6.72145,0.614864,1237.810287,1493.341603,76.34536067,8.822058084
11,hMOF-1000015,[V],['N#Cc1cc(C(=O)[O-])ccc1C(=O)[O-]'],rna,7.41046,6.89364,0.611294,1329.106593,1514.81406,79.63571556,9.21348809
12,hMOF-1000016,[V],"['N#Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'N#Cc1c(C(=O)[O-])ccc(C(=O)[O-])c1C#N']",rna,7.27854,6.83169,0.619292,1244.476118,1487.623066,78.33156788,9.046928939
13,hMOF-1000017,[V],"['N#Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'N#Cc1cc(C(=O)[O-])c(C#N)cc1C(=O)[O-]']",rna,5.05349,3.92797,0.481573,1074.554917,1284.4986,53.67946893,5.172803302
14,hMOF-1000018,[V],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'N#Cc1c(C(=O)[O-])ccc(C(=O)[O-])c1C#N']",rna,7.27854,6.83169,0.609735,1335.374473,1521.957711,74.27965985,8.230331858
15,hMOF-1000019,[V],"['COc1cc(C(=O)[O-])c(OC)cc1C(=O)[O-]', 'COc1cc(C(=O)[O-])ccc1C(=O)[O-]']",rna,7.17165,5.30798,0.50879,1051.471178,1292.12461,60.77576699,7.197579088
16,hMOF-1000022,[V],"['O=C([O-])c1cc(F)c(C(=O)[O-])cc1F', 'O=C([O-])c1ccc(-c2c(F)c(F)c(C(=O)[O-])c(F)c2F)cc1F']",rna,7.44468,6.96964,0.608772,1654.704526,1735.215751,53.41110908,4.954110773
17,hMOF-1000023,[V],"['O=C([O-])c1ccc(-c2cc(F)c(C(=O)[O-])c(F)c2F)c(F)c1', 'O=C([O-])c1ccc(C(=O)[O-])c(F)c1']",rna,7.43251,6.99489,0.667701,1693.664959,1679.855255,76.03153248,8.089534839
18,hMOF-1000024,[V],"['O=C([O-])c1[c][c]c(-c2[c][c]c(C(=O)[O-])[c][c]2)[c][c]1', 'O=C([O-])c1ccc(C(=O)[O-])c(Cl)c1']",rna,7.40436,6.86294,0.787618,1212.567469,1623.995767,101.4457124,12.53652628
19,hMOF-1000025,[V],"['O=C([O-])c1cc(Br)c(C(=O)[O-])c(Br)c1Br', 'O=C([O-])c1[c][c]c(-c2ccc(C(=O)[O-])c(Br)c2)c[c]1']",rna,7.17394,6.65329,0.623924,932.067664,1604.857426,53.30883925,5.529913537
20,hMOF-1000026,[V],"['O=C([O-])c1[c]cc(-c2[c]cc(C(=O)[O-])c(Br)c2)c[c]1', 'O=C([O-])c1ccc(C(=O)[O-])c(Br)c1']",rna,7.41289,7.02719,0.716441,1111.617906,1637.060476,74.21523505,8.693042129
